Title,Authors,Abstract,Published Year,Published Month,Journal,Volume,Issue,Pages,Accession Number,DOI,Ref,Covidence #,Study,Notes,Tags
Strength recovery after anterior cruciate ligament reconstruction with quadriceps tendon versus hamstring tendon autografts in soccer players: A randomized controlled trial.,Martin-Alguacil JL; Arroyo-Morales M; Martín-Gomez JL; Monje-Cabrera IM; Abellán-Guillén JF; Esparza-Ros F; Lozano ML; Cantarero-Villanueva I,"BACKGROUND: The comparison between HT and QT grafts in strength recovery and function after an ACLR is scarce in the literature. METHODS: A total of 56 participants were enrolled in this randomized controlled trial and placed into two groups: HT or QT. The hamstring/quadriceps (H/Q) ratio was the primary end-point measured with a Genu-3 dynamometer. Peak torque, functional assessment (Lysholm knee scoring scale and Cincinnati Knee Rating System), and anteroposterior laxity (KT-2000™ arthrometer) were also assessed. An intention-to-treat analysis was performed. RESULTS: The results of the H/Q ratio analysis of the participants over time revealed significant differences at 60, 180, and 300°/s at three, six, and 12months of follow-up (60°/s: F=5.3, p=0.005; 180°/s: F=5.5, p=0.004; 300°/s: F=5.1, p=0.005). Furthermore, they revealed significant differences at 60°/s, 180°/s, and 300°/s in the participants over time for peak torque in the extensor muscle strength at three and six months of follow-up, with higher values in the hamstring tendon group but not at 12months of follow-up. There were no significant differences in functional endpoints or arthrometer assessments at 24months of follow-up. CONCLUSION: An ACLR with a QT graft showed similar functional results with a better isokinetic H/Q ratio compared to an ACLR with the HT at 12months of follow-up in soccer players. This higher H/Q ratio observed with the QT could be an advantage of this graft over the HT for an ACLR.",2018,Aug,Knee,25,4,704-714,,10.1016/j.knee.2018.03.011,29776815,#246,Martin-Alguacil 2018,Exclusion reason: Duplicate report of the same study.; ,Possible RCT
Pain level after ACL reconstruction: A comparative study between free quadriceps tendon and hamstring tendons autografts.,Buescu CT; Onutu AH; Lucaciu DO; Todor A,"OBJECTIVE: The objective of this study was to compare the pain levels and analgesic consumption after single bundle ACL reconstruction with free quadriceps tendon autograft versus hamstring tendon autograft. PATIENTS AND METHODS: A total of 48 patients scheduled for anatomic single-bundle ACL reconstruction were randomized into two groups: the free quadriceps tendon autograft group (24 patients) and the hamstring tendons autograft group (24 patients). A basic multimodal analgesic postoperative program was used for all patients and rescue analgesia was provided with tramadol, at pain scores over 30 on the Visual Analog Scale. The time to the first rescue analgesic, the number of doses of tramadol and pain scores were recorded. The results within the same group were compared with the Wilcoxon signed test. RESULTS: Supplementary analgesic drug administration proved significantly higher in the group of subjects with hamstring grafts, with a median (interquartile range) of 1 (1.3) dose, compared to the group of subjects treated with a quadriceps graft, median = 0.5 (0.1.25) (p = 0.009). A significantly higher number of subjects with a quadriceps graft did not require any supplementary analgesic drug (50%) as compared with subjects with hamstring graft (13%; Z-statistics = 3.01, p = 0.002). The percentage of subjects who required a supplementary analgesic drug was 38% higher in the HT group compared with the FQT group. CONCLUSION: The use of the free quadriceps tendon autograft for ACL reconstruction leads to less pain and analgesic consumption in the immediate postoperative period compared with the use of hamstrings autograft. LEVEL OF EVIDENCE: Level I Therapeutic study.",2017,Mar,Acta Orthop Traumatol Turc,51,2,100-103,,10.1016/j.aott.2017.02.011,28242265,#276,Buescu 2017,Exclusion reason: Did not report on one of the specified outcomes; ,Possible RCT
Braking Reaction Time After Right-Knee Anterior Cruciate Ligament Reconstruction: A Comparison of 3 Grafts.,Wasserman BR; Singh BC; Kaplan DJ; Weinberg M; Meislin R; Jazrawi LM; Strauss EJ,"PURPOSE: To determine when patients recover the ability to safely operate the brakes of an automobile after a right-knee anterior cruciate ligament reconstruction (ACLR). METHODS: A computerized driving simulator was used to determine braking ability after an isolated right-knee ACLR. Thirty healthy volunteers were tested at 1 visit to determine normal mean values, and 27 treatment subjects were tested at 1 week, 3 weeks, and 6 weeks after ACLR. Nine study subjects were treated with a patella tendon (BPTB) autograft, 9 were treated with a hamstring (HS) autograft, and 9 were treated with a tibialis anterior (TA) allograft. The driving simulator collected data on brake reaction time (BRT), brake travel time (BTT), and total brake time (TBT) at each visit. RESULTS: The control group generated a BRT of 725 milliseconds, BTT of 2.87 seconds, and TBT of 3.59 seconds. At week 1, all treatment patients had significant differences compared with controls for BRT, BTT, and TBT, except the BTT of the HS group. At week 3, all measures for the allograft group and the BRT for both autograft groups were no longer significantly different compared with controls, but significant differences were found for TBT in the HS and BPTB groups (P = .03, P = .01). At week 6, BRT, BTT, and TBT were no longer significantly different for either the HS group or BPTB group. CONCLUSIONS: Patients who underwent a right-knee ACLR with a TA allograft regained normal braking times by week 3 postoperatively. In contrast, those treated with a BPTB or HS autograft demonstrated significantly delayed braking times at 3 weeks but returned to normal braking ability by week 6. Those treated with an autograft had an earlier return of normalized BRT than BTT. LEVEL OF EVIDENCE: Level III, case-control series.",2017,Jan,Arthroscopy,33,1,173-180,,10.1016/j.arthro.2016.05.043,27570169,#291,Wasserman 2017,Exclusion reason: Did not report on one of the specified outcomes; ,Possible RCT
Immediate post-operative pain in anterior cruciate ligament reconstruction surgery with bone patellar tendon bone graft versus hamstring graft.,Gupta R; Kapoor D; Kapoor L; Malhotra A; Masih GD; Kapoor A; Joshi S,"BACKGROUND: Pain in the immediate post-operative period after anterior cruciate ligament (ACL) surgery, apart from an unpleasant experience for the patient, can act as a barrier for static quadriceps contractions and optimum execution of the initial rehabilitation protocol resulting in slow recovery and a later return to full function for a sportsperson. There is no report in the literature comparing pain in the immediate post-operative period after using the two most widely used autografts, bone patellar tendon bone (BPTB) graft and hamstring graft. METHODS: The present study compared the visual analogue scale (VAS) pain score in the immediate post-operative period after arthroscopic ACL reconstruction with the BPTB and hamstring autografts. Both groups consisted of 50 patients each. The mean age of the BPTB and hamstring cohorts was 26.9 ± 7.3 years (age range 18-59 years) and 26.7 ± 9.0 years (age range 17-52 years), respectively. Unpaired t test was applied to compare pain scores between the BPTB and hamstring cohorts. RESULTS: In the present study, patients in the BPTB cohort showed higher mean pain scores across all the post-operative time intervals except at 6 h. However, the difference in the mean VAS pain score at post-operative 6, 12,18, 24, 36 and 48 h in the two groups was statistically not significant (p value of 1, 0.665, 0.798, 0.377, 0.651 and 0.215 at 6, 12, 18, 24, 36 and 48 h, respectively). CONCLUSIONS: Our study concludes that the arthroscopic ACL reconstruction with BPTB autograft and hamstring autograft is associated with similar pain in the immediate post-operative period. As a result, aggressive physiotherapy regime is not affected by the type of graft being used for ACL reconstruction, as the pain scores in the immediate post-operative period are similar for both techniques. TRIAL REGISTRATION: Clinical Trials Registry-India, CTRI/2016/01/006502.",2016,Jun,J Orthop Surg Res,11,1,67,,10.1186/s13018-016-0399-5,27277002,#302,Gupta 2016,Exclusion reason: Did not report on one of the specified outcomes; ,Possible RCT
Complications and Adverse Events of a Randomized Clinical Trial Comparing 3 Graft Types for ACL Reconstruction.,Mohtadi N; Barber R; Chan D; Paolucci EO,"OBJECTIVE: Complications/adverse events of anterior cruciate ligament (ACL) surgery are underreported, despite pooled level 1 data in systematic reviews. All adverse events/complications occurring within a 2-year postoperative period after primary ACL reconstruction, as part of a large randomized clinical trial (RCT), were identified and described. DESIGN: Prospective, double-blind randomized clinical trial. Patients and the independent trained examiner were blinded to treatment allocation. SETTING: University-based orthopedic referral practice. PATIENTS: Three hundred thirty patients (14-50 years; 183 males) with isolated ACL deficiency were intraoperatively randomized to ACL reconstruction with 1 autograft type. Graft harvest and arthroscopic portal incisions were identical. INTERVENTION: Patients were equally distributed to patellar tendon (PT), quadruple-stranded hamstring tendon (HT), and double-bundle (DB) hamstring autograft ACL reconstruction. MAIN OUTCOME MEASURES: Adverse events/complications were patient reported, documented, and diagnoses confirmed. RESULTS: Two major complications occurred: pulmonary embolism and septic arthritis. Twenty-four patients (7.3%) required repeat surgery, including 25 separate operations: PT = 7 (6.4%), HT = 9 (8.2%), and DB = 8 (7.3%). Repeat surgery was performed for meniscal tears (3.6%; n = 12), intra-articular scarring (2.7%; n = 9), chondral pathology (0.6%; n = 2), and wound dehiscence (0.3%; n = 1). Other complications included wound problems, sensory nerve damage, muscle tendon injury, tibial periostitis, and suspected meniscal tears and chondral lesions. Overall, more complications occurred in the HT/DB groups (PT = 24; HT = 31; DB = 45), but more PT patients complained of moderate or severe kneeling pain (PT = 17; HT = 9; DB = 4) at 2 years. CONCLUSIONS: Overall, ACL reconstructive surgery is safe. Major complications were uncommon. Secondary surgery was necessary 7.3% of the time for complications/adverse events (excluding graft reinjury or revisions) within the first 2 years. LEVEL OF EVIDENCE: Level 1 (therapeutic studies). CLINICAL RELEVANCE: This article reports on the complications/adverse events that were prospectively identified up to 2 years postoperatively, in a defined patient population participating in a large double-blind randomized clinical trial comparing PT, single-bundle hamstring, and DB hamstring reconstructions for ACL rupture.",2016,May,Clin J Sport Med,26,3,182-9,,10.1097/JSM.0000000000000202,25881568,#331,Mohtadi 2016,Exclusion reason: Duplicate report of the same study.; ,Possible RCT
Hip flexion strength remains decreased in anterior cruciate ligament reconstructed patients at one-year follow up compared to healthy controls.,Mouzopoulos G; Siebold R; Tzurbakis M,"PURPOSE: The aim of this study was to evaluate hip muscle flexion strength in patients who underwent anterior cruciate ligament (ACL) reconstruction with patellar or hamstrings tendon graft and compare them with healthy controls. METHODS: Sixty-eight male ACL deficient patients who underwent reconstruction (36 patients with hamstrings tendon graft and 32 patients with patellar tendon graft; randomized selection of type of graft) in our department, between July 2011 and July 2012, were enrolled in this randomised prospective study. Also 64 healthy male weekend athletes participated in the study as a control group. Hip flexor strength was measured by isokinetic dynamometer (Biodex), pre-operatively and one year after reconstruction. The statistical packet STATA 8.0 was used and statistical significance was set at p < 0.05. RESULTS: Hip flexion strength in ACL reconstructed patients either with patellar tendon or hamstrings grafts, one year after reconstruction is significantly decreased compared to healthy controls (p < 0.0001). Patients reconstructed with patellar tendon have stronger hip flexors than those reconstructed with hamstrings graft (p < 0.0001). CONCLUSION: Hip flexion strength remains decreased one year after ACL surgery compared to healthy controls. Patellar tendon could be the graft of choice for ACL reconstruction in athletes who must preserve stronger hip flexors.",2015,Jul,Int Orthop,39,7,1427-32,,10.1007/s00264-014-2662-x,25645436,#336,Mouzopoulos 2015,Exclusion reason: Did not report on one of the specified outcomes; ,Possible RCT
Comparison of functional outcome measures after ACL reconstruction in competitive soccer players: a randomized trial.,Mohammadi F; Salavati M; Akhbari B; Mazaheri M; Mohsen Mir S; Etemadi Y,"BACKGROUND: The choice of graft for anterior cruciate ligament (ACL) reconstruction remains controversial. Although many outcome studies comparing bone-patellar tendon-bone and semitendinosus and gracilis tendon grafts have been performed, most have not included tests of functional outcomes that challenge the graft. The objective of the current study was to compare the functional performances of soccer players after ACL reconstruction that was performed with either a bone-patellar tendon-bone or a semitendinosus and gracilis tendon graft. METHODS: Forty-two soccer players with unilateral ACL injury were prospectively randomized to a bone-patellar tendon-bone group (BPTB group; twenty-one subjects) or a semitendinosus and gracilis tendon group (STG group; twenty-one subjects) and followed a rehabilitation protocol. At the time of return to sports, the patients were asked to execute strength, hop, and jump tests and the results were compared between the groups. Twenty-one healthy athletes were recruited as the control group to evaluate their performance of the same tests. RESULTS: The limbs with the ACL reconstruction in the STG group had greater values for quadriceps torque as well as on the triple-hop, crossover-hop, and jump-landing test (p < 0.01), but the STG and BPTB groups showed similar results in terms of hamstrings peak torque and the results of two other hop tests (p > 0.05). Moreover, the subjects with ACL reconstruction had significantly lower values with regard to quadriceps and hamstrings peak torques and the results of the hop and jump tests compared with the healthy athletes (p < 0.01). CONCLUSIONS: At the time of return to sports, the STG group had better performance in terms of quadriceps strength and the results of the triple-hop, crossover-hop, and jump-landing tests compared with the BPTB group. Compared with controls, soccer players who had undergone ACL reconstruction had less quadriceps and hamstrings strength and inferior hop performance and jump-landing strategy.",2013,Jul,J Bone Joint Surg Am,95,14,1271-7,,10.2106/JBJS.L.00724,23864175,#374,Mohammadi 2013,Exclusion reason: Did not report on one of the specified outcomes; ,Possible RCT
Quality of life and clinical outcome comparison of semitendinosus and gracilis tendon versus patellar tendon autografts for anterior cruciate ligament reconstruction: an 11-year follow-up of a randomized controlled trial.,Sajovic M; Strahovnik A; Dernovsek MZ; Skaza K,"BACKGROUND: There are still controversies about graft selection for primary anterior cruciate ligament reconstruction. Prospective, randomized long-term studies are needed to determine the differences between the graft materials. HYPOTHESIS: Eleven years after anterior cruciate ligament reconstruction there is no difference in functional outcome and quality of life between patients with patellar tendon or hamstring tendon autografts; however, the patients with patellar tendon autograft would have a higher prevalence of osteoarthritis. STUDY DESIGN: Randomized controlled trial; Level of evidence, 2. METHODS: From June 1999 to March 2000, 64 patients were included in this prospective study. A single surgeon performed primary arthroscopically assisted anterior cruciate ligament reconstruction in an alternating sequence. In 32 patients, anterior cruciate ligament reconstruction was performed with hamstring tendon autograft (semitendinosus and gracilis [STG] group) while in the other 32 patients the reconstruction was performed with patellar tendon autograft (PT group). RESULTS: At the 11-year follow-up, no statistically significant differences were seen with respect to the Lysholm score and Short Form-36, KT-1000 arthrometer laxity testing, anterior knee pain, single-legged hop test, or International Knee Documentation Committee (IKDC) classification results. Positive pivot-shift test (1+) was significantly more frequent in the PT group (P = .036). Twenty-two patients (81%) in the STG group and 18 patients (72%) in the PT group were still at their preinjury level of activity. Graft rupture occurred in 2 patients from the STG group (6%) and in 4 patients from the PT (12%). Grade B and C abnormal radiographic findings were seen in 84% (21 of 25) of patients in the PT group and in 63% (17 of 27) of patients in the STG group (P = .008). CONCLUSION: Both hamstring and patellar tendon autografts provided good subjective outcomes and objective stability at 11 years. Positive pivot-shift test (1+) was significantly more frequent in the PT group. No significant differences in the rate of graft failure were identified. Patients with patellar tendon graft had a greater prevalence of osteoarthritis at 11 years after surgery.",2011,Oct,Am J Sports Med,39,10,2161-9,,10.1177/0363546511411702,21712483,#428,Sajovic 2011,Exclusion reason: Duplicate report of the same study.; ,Possible RCT
[Anatomic anterior cruciate ligament reconstruction with hamstrings using press-fit fixation without hardware: operative technique and long-term results of a prospective and randomized study].,Pässler HH,"An innovative technique for anterior cruciate ligament (ACL) reconstruction has been developed in 1998 which allows the grafts to be fixed by press-fit to the femoral and tibial tunnel without any hardware. The semitendinosus (ST) and gracilis tendons (GT) are built into a sling by tying a knot with the tendon ends and securing the knot after conditioning by sutures. For the femoral tunnel the anteromedial porta is used. The correct anatomic position of the single femoral tunnel is checked using intraoperative lateral fluoroscopy by placing the tip of a K-wire to a point between the anteromedial and posterolateral bundle insertion sites. A femoral bottleneck tunnel is drilled to receive the knot of the tendons. The tendon loops filled the tibial tunnel without any suture material. The loops are fixed at the tibial tunnel outlet with tapes over a bone bridge. Between 1998 and 1999 a prospective randomized study (level 1) was conducted comparing this technique with a technique using bone-patellar-tendon graft and press-fit fixation without hardware. In conclusion it was found that implant-free press-fit ACL reconstruction using bone-patella-tendon (BPT) and hamstring tendon (HT) grafts proved to be an excellent procedure to restore stability and function of the knee. Using hamstring tendons (ST and GT) significantly lower donor site morbidity was noted. Kneeling and knee walking pain persisted to be significantly more intense in the BPT up to 9 years after the operation. Re-rupture rates, subjective findings, knee stability and isokinetic testing showed similar results for both grafts. This is the first level I study which demonstrates cartilage protection by ACL reconstruction as long as the meniscus is intact at index surgery, shown by bilateral MRI analysis 9 years post-operation. There was no significant difference in the average grade of chondral and meniscus lesions between BPT and HT and in comparison of the operated to the intact knee, except for grade 3-4 lesions found at the 9 year follow-up, which were significantly higher in the BPT group.",2010,Jul,Unfallchirurg,113,7,555-60,,10.1007/s00113-010-1791-y,20607509,#446,Pässler 2010,Exclusion reason: Full-text written in a language other than English.; ,Possible RCT
Quality of life and clinical outcome after anterior cruciate ligament reconstruction using patellar tendon graft or quadrupled semitendinosus graft: an 8-year follow-up of a randomized controlled trial.,Barenius B; Nordlander M; Ponzer S; Tidermark J; Eriksson K,"BACKGROUND: Randomized controlled trials after anterior cruciate ligament reconstructions with long-term follow-up including assessment of health-related quality of life are rare. PURPOSE: To compare clinical outcome and health-related quality of life 8 years after anterior cruciate ligament reconstruction using 2 types of graft. STUDY DESIGN: Randomized controlled trial; Level of evidence, 1. METHODS: Long-term follow-up of 164 patients with anterior cruciate ligament injury randomized to arthroscopic reconstruction with a quadrupled semitendinosus graft or a bone-patellar tendon-bone graft was undertaken. After a mean 8 years, 153 patients were available for follow-up, including instrumented laxity, 1-legged hop test, a knee-walking test, and assessment with International Knee Documentation Committee, Lysholm, Tegner, and patellofemoral pain score. Health-related quality of life was assessed with Knee Osteoarthritis Outcome Score and Short Form-36. RESULTS: Patients in both graft groups retained the same stability, knee function, and health-related quality of life. The patellofemoral pain score was similar for both groups; the bone-patellar tendon-bone group had more donor site morbidity from kneeling and knee walking. In the bone-patellar tendon-bone group, 19 patients had no kneeling problems, 23 slight problems, 31 moderate problems, and 5 unable to kneel. Corresponding figures for the semitendinosus group were 25, 32, 16, and 2 (P < .001). Patients with early reconstructions (<5 months) had a lower risk for meniscal injuries (37%) than did later reconstructed (62%, P = .008). Health-related quality of life regarding physical functioning in Short Form-36 was better for the early-reconstructed patients than for the later reconstructed (92 vs 85; P = .014). Patients without medial meniscal surgery had higher Knee Osteoarthritis Outcome Scores for all subscales than did patients with medial meniscal surgery, with most significant difference for sport and recreation (63 vs 75, P = .008). CONCLUSION: In the long term, the semitendinosus graft provided similar stability, knee function, and health-related quality of life but with less kneeling morbidity than did the bone-patellar tendon-bone graft.",2010,Aug,Am J Sports Med,38,8,1533-41,,10.1177/0363546510369549,20566719,#449,Barenius 2010,Exclusion reason: Duplicate report of the same study.; ,Possible RCT
Arthroscopic anterior cruciate ligament surgery: results of autogenous patellar tendon graft versus the Leeds-Keio synthetic graft five year follow-up of a prospective randomised controlled trial.,Ghalayini SR; Helm AT; Bonshahi AY; Lavender A; Johnson DS; Smith RB,"We conducted a prospective, randomised controlled trial comparing anterior cruciate ligament reconstruction using middle third patellar tendon graft (PT) to synthetic Leeds-Keio (LK) ligament. The patients were randomised (26 PT, 24 LK). Subjective knee function was classified (Lysholm, Tegner activity, IKDC scores), laxity was measured (Lachman test, Stryker laxometer), and functional ability was assessed (one-hop test). There were no significant differences between Lysholm or IKDC scores at any stage by 5 years. Significant differences were found between the groups at 2 years for Tegner activity scores, laxity and one-hop testing. By 5 years there were no significant differences. Clinical equivalence was demonstrated between the two groups for the Lysholm score and one-hop test but not for the Tegner activity score at 5 years. The use of the LK ligament has been largely abandoned due to reports of its insufficiency. Our results demonstrate that it is not as inferior as one might expect. We conclude that the results of LK ligament ACL reconstruction are as acceptable as those using PT. It may provide an additional means of reconstruction where no suitable alternative is present.",2010,Oct,Knee,17,5,334-9,,10.1016/j.knee.2009.09.008,19861236,#464,Ghalayini 2010,Exclusion reason: Did not compare at least two of the specified graft types; ,Possible RCT
The effect of graft choice on functional outcome in anterior cruciate ligament reconstruction.,Sajovic M; Strahovnik A; Komadina R; Dernovsek MZ,"A prospective, randomised, 5-year follow-up study was designed to compare the functional results between patellar tendon and hamstring tendon autografts after anterior cruciate ligament reconstruction. Primary reconstruction was performed in 32 patients using the central third of the patellar ligament and in 32 patients using double-looped semitendinosus and gracilis tendons. All reconstructions were performed by a single surgeon, with identical surgical technique and rehabilitation protocol. Of the total 64 patients in the study, 54 (85%) were available for the 5-year follow-up. No statistically significant differences were seen with respect to Lysholm score, International Knee Documentation Committee (IKDC) classification, clinical and KT-2000 arthrometer laxity testing, single-legged hop test and anterior knee pain. Graft rupture occurred in two patients (8%) in the patellar tendon group and in two patients (7%) in the hamstring tendon group; 23 patients (88%) in the patellar tendon group and 23 patients (82%) in the hamstring tendon group returned to their pre-injury activity level. Good subjective outcome and stability can be obtained by using either graft; no statistically significant differences were found in functional outcome between the grafts.",2008,Aug,Int Orthop,32,4,473-8,,10.1007/s00264-007-0341-x,17431619,#527,Sajovic 2008,Exclusion reason: Duplicate report of the same study.; ,Possible RCT
"A prospective, randomized comparison of semitendinosus and gracilis tendon versus patellar tendon autografts for anterior cruciate ligament reconstruction: five-year follow-up.",Sajovic M; Vengust V; Komadina R; Tavcar R; Skaza K,"BACKGROUND: There are still controversies about graft selection for primary anterior cruciate ligament reconstruction. Prospective randomized long-term studies are needed to determine the differences between the materials. HYPOTHESIS: Five years after anterior cruciate ligament reconstruction, there is a difference between hamstring and patellar tendon grafts in development of degenerative knee joint disease. STUDY DESIGN: Randomized controlled trial; Level of evidence, 1. METHODS: From June 1999 to March 2000, 64 patients were included in this prospective study. A single surgeon performed primary arthroscopically assisted anterior cruciate ligament reconstruction in an alternating sequence. In 32 patients, anterior cruciate ligament reconstruction was performed with hamstring tendon autograft, whereas in the other 32 patients, anterior cruciate ligament reconstruction was performed with patellar tendon autograft. RESULTS: At the 5-year follow-up, no statistically significant differences were seen with respect to the Lysholm score, clinical and KT-2000 arthrometer laxity testing, anterior knee pain, single-legged hop test, or International Knee Documentation Committee classification results; 23 patients (82%) in the hamstring tendon group and 23 patients (88%) in the patellar tendon group returned to their preinjury activity levels. Graft rupture occurred in 2 patients from the hamstring tendon group (7%) and in 2 patients from the patellar tendon group (8%). Grade B abnormal radiographic findings were seen in 50% (13/26) of patients in the patellar tendon group and in 17% (5/28) of patients in the hamstring tendon group (P = .012). CONCLUSION: Both hamstring and patellar tendon grafts provided good subjective outcomes and objective stability at 5 years. No significant differences in the rate of graft failure were identified. Patients with patellar tendon grafts had a greater prevalence of osteoarthritis at 5 years after surgery.",2006,Dec,Am J Sports Med,34,12,1933-40,,10.1177/0363546506290726,16923826,#542,Sajovic 2006,Exclusion reason: Duplicate report of the same study.; ,Possible RCT
Prospective and randomized evaluation of ACL reconstruction with three techniques: a clinical and radiographic evaluation at 5 years follow-up.,Zaffagnini S; Marcacci M; Lo Presti M; Giordano G; Iacono F; Neri MP,"A variety of graft sources have been used for ACL reconstruction to improve functions and kinematics in ACL deficient knees. The two most commonly used autogenous grafts are the central third of the patellar tendon and the hamstring tendon constructs. The choice of different grafts and different construct influence the final clinical outcome of ACL reconstruction. The 3 groups, of 25 patients each, were generated by choosing the technique (PT tendon, 4 strand hamstring, and single hamstring plus extraarticular plasty) to utilize and followed for 5 years, with an alternate systematic sampling. Our comparison has shown significant kneeling pain in the patellar tendon with respect to the groups with hamstrings techniques. Single hamstring plus extraarticular plasty achieved subjective score significantly higher with respect to the other two groups as well as for the time to resume sport. The study confirms that patellar tendon and hamstring can be equivalent options for ACL reconstruction. This study demonstrated that a superior outcome as far as subjective clinical findings were concerned, was obtained in group III. Patients in the latter group were also able to return to sports sooner than those in the bone-patellar tendon graft group and the four-strand hamstring group.",2006,Nov,Knee Surg Sports Traumatol Arthrosc,14,11,1060-9,,10.1007/s00167-006-0130-x,16909301,#544,Zaffagnini 2006,Exclusion reason: Duplicate report of the same study.; ,Possible RCT
"Intra-articular drain versus no drain after arthroscopic anterior cruciate ligament reconstruction: a randomized, prospective clinical trial.",McCormack RG; Greenhow RJ; Fogagnolo F; Shrier I,"PURPOSE: A significant proportion of surgeons use intra-articular drains after arthroscopic anterior cruciate ligament (ACL) reconstruction. The usual reason given to justify the use of a drain is to minimize patient pain and stiffness of the knee joint. The purpose of this study was to assess the validity of this approach. METHODS: In this study 118 consecutive ACL reconstruction patients were randomized to no drain or a postoperative intra-articular suction drain. Inclusion criteria included a successful ACL reconstruction via either 4-strand hamstrings or bone-patellar tendon-bone autograft as a graft source. The primary outcomes were defined as pain (assessed by pain scores and analgesic counts) and range of motion (ROM) (assessed by loss of flexion and extension compared with the nonoperative leg). An independent statistical analysis was performed. RESULTS: The 2 groups were comparable with respect to patient demographics, surgical findings, and procedures performed. There were no differences between the treatment groups for the primary outcomes of pain and ROM during the 8-week follow-up period. The study had adequate power to detect a clinically significant difference. Regarding the secondary outcomes, there was a difference in the grade of hemarthrosis between the groups at week 1 but not at week 4 or 8. However, the difference in subjective grade of hemarthrosis at 1 week did not have any effect on the primary outcomes of pain and ROM. During the study period, there were no complications in either group. CONCLUSIONS: The routine use of intra-articular drains after arthroscopic ACL surgery was not supported by this study. LEVEL OF EVIDENCE: Level II, randomized controlled trial without narrow confidence intervals.",2006,Aug,Arthroscopy,22,8,889-93,,10.1016/j.arthro.2006.05.004,16904589,#545,McCormack 2006,Exclusion reason: Did not report on one of the specified outcomes; ,Possible RCT
Quantitative evaluation of anterior tibial translation during isokinetic motion in knees with anterior cruciate ligament reconstruction using either patellar or hamstring tendon grafts.,Sato N; Higuchi H; Terauchi M; Kimura M; Takagishi K,"We studied 79 patients with unilateral injury to the anterior cruciate ligament (ACL). The patients were randomly allocated to reconstruction with autologous patellar bone-tendon-bone (BTB) grafts (49 knees) or hamstring tendon (ST) grafts (30 knees). We measured anterior tibial translation (ATT) during isokinetic concentric contraction exercise 18-20 months after surgery using a computerized electrogoniometer. In both groups the highest ATT during exercise was observed at a knee flexion of about 20 degrees and was 13.5+/-3.0 mm in the BTB group and 13.9+/-3.4 mm in the ST group. There was no difference in the ATT between the reconstructed and healthy knees. For a range of knee flexion between 30 and 50 degrees the ATT in the ST group was significantly higher on the reconstructed side than on the healthy side. In the BTB group, the mean ATT in the reconstructed group was similar to that on the healthy side at a knee flexion angle between 0 and 90 degrees .",2005,Dec,Int Orthop,29,6,385-9,,10.1007/s00264-005-0011-9,16075231,#562,Sato 2005,Exclusion reason: Did not report on one of the specified outcomes; ,Possible RCT
Interference screw fixation of soft tissue grafts in anterior cruciate ligament reconstruction: part 2: effect of preconditioning on graft tension during and after screw insertion.,Nurmi JT; Kannus P; Sievänen H; Järvelä T; Järvinen M; Järvinen TL,"BACKGROUND: Preconditioning of tendon grafts is believed to eliminate natural viscoelasticity of the tendons and prevent knee laxity after anterior cruciate ligament (ACL) reconstruction. HYPOTHESIS: Preconditioned ACL grafts maintain their initially set tension. STUDY DESIGN: Randomized experimental study. METHODS: Forty-two human anterior tibialis (AT) tendon grafts were subjected to either no preconditioning (group 1), cyclic preconditioning (group 2), or isometric preconditioning (group 3). The residual graft tension was then recorded immediately after the application of an initial graft tension of 80 N and fixation into tibia with an interference screw, as well as 10 minutes later. In another experiment, the residual graft tension was recorded 1, 10, and 60 minutes after 10 AT and quadrupled hamstring tendon (HT) grafts alone (no fixation) had been subjected to isometric preconditioning (80 N). RESULTS: Immediately after screw insertion, the residual (AT) graft tensions were 79 +/- 19 N, 100 +/- 17 N, and 102 +/- 15 N in groups 1 through 3, respectively. Ten minutes later, the corresponding values were 49 +/- 16 N, 60 +/- 11 N, and 64 +/- 12 N. For the AT and HT grafts alone, the residual graft tensions were 67 +/- 2 N and 67 +/- 2 N, 45 +/- 2 N and 46 +/- 4 N, and 29 +/- 3 N and 34 +/- 5 N at 1, 10, and 60 minutes, respectively. CONCLUSIONS: A steady decrease (-60% within 60 minutes after initial tensioning) occurs in the initially set tension of the soft tissue ACL grafts. CLINICAL RELEVANCE: Clinically applicable preconditioning protocols cannot eliminate the intrinsic viscoelasticity from ACL soft tissue grafts, and thus, the reasonableness of preconditioning per se is questioned in ACL reconstruction.",2004,Mar,Am J Sports Med,32,2,418-24,,10.1177/0363546503261703,14977667,#583,Nurmi 2004,Exclusion reason: Did not report on one of the specified outcomes; ,Possible RCT
